Threads,Time,,Threads,Time
1,8.543301,,1,8.476966
1,8.54479,,2,4.5593241
1,8.428054,,4,3.0883963
1,8.389175,,8,2.309245
1,8.478026,,16,1.9929459
1,8.461639,,32,1.9819263
1,8.489891,,64,2.0305666
1,8.456136,,128,2.0268599
1,8.479718,,256,2.0696848
1,8.49893,,512,2.1037497
2,4.515051,,1024,2.0367878
2,4.517086,,,
2,4.532767,,,
2,4.55912,,,
2,4.525221,,,
2,4.611772,,,
2,4.551935,,,
2,4.590324,,,
2,4.581169,,,
2,4.608796,,,
4,3.017468,,,
4,3.016753,,,
4,3.133284,,,
4,3.134567,,,
4,3.077146,,,
4,3.093727,,,
4,3.165675,,,
4,3.052957,,,
4,3.116063,,,
4,3.076323,,,
8,2.39148,,,
8,2.291918,,,
8,2.265126,,,
8,2.307282,,,
8,2.269918,,,
8,2.296431,,,
8,2.361572,,,
8,2.339583,,,
8,2.296706,,,
8,2.272434,,,
16,1.979676,,,
16,1.968966,,,
16,1.946622,,,
16,1.983515,,,
16,2.008209,,,
16,1.988053,,,
16,2.006663,,,
16,2.025359,,,
16,2.020384,,,
16,2.002012,,,
32,1.944782,,,
32,2.011905,,,
32,2.061306,,,
32,1.979465,,,
32,1.988118,,,
32,1.943235,,,
32,2.001727,,,
32,1.936778,,,
32,1.96357,,,
32,1.988377,,,
64,2.02857,,,
64,2.020615,,,
64,2.053019,,,
64,2.022847,,,
64,2.113629,,,
64,2.096728,,,
64,1.987401,,,
64,1.972118,,,
64,2.016291,,,
64,1.994448,,,
128,2.006519,,,
128,2.030292,,,
128,2.062505,,,
128,1.980008,,,
128,2.044084,,,
128,2.041334,,,
128,2.029876,,,
128,1.998324,,,
128,2.05142,,,
128,2.024237,,,
256,2.031121,,,
256,2.094258,,,
256,2.089467,,,
256,2.020165,,,
256,2.086126,,,
256,2.025649,,,
256,2.059151,,,
256,2.099664,,,
256,2.10346,,,
256,2.087787,,,
512,2.087405,,,
512,2.12756,,,
512,2.116267,,,
512,2.142311,,,
512,2.125098,,,
512,2.074805,,,
512,2.081829,,,
512,2.103782,,,
512,2.085362,,,
512,2.093078,,,
1024,2.060171,,,
1024,1.978497,,,
1024,2.043814,,,
1024,2.021359,,,
1024,2.118175,,,
1024,2.040927,,,
1024,2.028995,,,
1024,2.013928,,,
1024,2.039364,,,
1024,2.022648,,,
